"unique_id","site","species","fluidigm_num","tray","run_by","scored_by","tissue","lod_applied","Arena1","arena2","ascv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","ctv","de_sal","fa_mar","fl_psy","Hantavirus","hkg","hkg_r","ic_hof","ic_mul","IcD","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","Nido2_a","pa_kab","pa_min","pa_pse","pa_ther","Picorna2_virus","pisck_sal","prv","pspv","Qin","reov","Rhabdo3_virus","rlo","Salmovirus","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal"
"2019-0046-118-LL3","LL","Sockeye","LL3",4010,"KK","KK","Gill",TRUE,0,0,0,NA,164789.0585,0,NA,0,0,0,0,230.5541197,NA,3.23e-37,3.23e-37,0,0,NA,0,77.58910181,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,1934.471301,0,0,0,0,0,0
"2019-0046-118-LL4","LL","Sockeye","LL4",4010,"KK","KK","Gill",TRUE,0,0,0,NA,18850.62657,0,NA,0,0,0,0,712.5208771,NA,3.51e-46,3.51e-46,0,0,NA,0,9.88354093,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-LL5","LL","Sockeye","LL5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,31257.86519,0,NA,0,0,0,0,872.9234804,NA,1.13e-41,1.13e-41,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-LL6","LL","Sockeye","LL6",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2724.663566,0,NA,0,0,0,0,2106.860829,NA,2.67e-48,2.67e-48,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,1774.839045,0,0,0,0,0,0
"2019-0046-118-LL8","LL","Sockeye","LL8",4010,"KK","KK","Gill",TRUE,0,0,0,NA,124128.6662,0,NA,0,0,0,0,1663012.132,NA,4.36e-42,4.36e-42,0,0,NA,0,34.2100807,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-LL9","LL","Sockeye","LL9",4010,"KK","KK","Gill",TRUE,0,0,0,NA,2046.402192,0,NA,0,0,0,0,5920.916002,NA,3.99e-38,3.99e-38,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-MA1","MA","Sockeye","MA1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,916738.2809,0,NA,0,0,0,0,101722.2948,NA,1.77e-37,1.77e-37,0,0,NA,149073.4016,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,47489.42386,0,0,0,0,0,0,0
"2019-0046-118-MA10","MA","Sockeye","MA10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,7964476.562,0,NA,0,0,0,0,271319.2254,NA,1.27e-52,1.27e-52,0,0,NA,732.7487243,74024.11677,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,9789.043584,0,0,0,0,0,0,0
"2019-0046-118-MA2","MA","Sockeye","MA2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,191588.7352,0,NA,0,0,0,0,24484.16025,NA,1.2e-40,1.2e-40,0,0,NA,2691.451555,0,0,0,0,0,NA,0,12.40466809,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,925.1840592,3792.580456,0,0,0,0,0,0
"2019-0046-118-MA4","MA","Sockeye","MA4",4010,"KK","KK","Gill",TRUE,0,0,0,NA,756640.9241,0,NA,0,0,0,0,5286.280438,NA,1.24e-49,1.24e-49,0,0,NA,29.92573903,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,253.9884923,0,0,0,0,0,0,0
"2019-0046-118-MA5","MA","Sockeye","MA5",4010,"KK","KK","Gill",TRUE,0,0,0,NA,470208.9052,0,NA,0,0,0,0,43622.8894,NA,1.07e-36,1.07e-36,0,0,NA,9.985335361,315.0420066,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,351.0218481,0,0,0,0,0,0,0
"2019-0046-118-MA7","MA","Sockeye","MA7",4010,"KK","KK","Gill",TRUE,0,0,0,NA,5023864.067,0,NA,0,0,0,0,1101730.236,NA,1.11e-48,1.11e-48,0,38.28562006,NA,21739.85479,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,5106.623648,0,0,0,0,0,0,0
"2019-0046-118-MA8","MA","Sockeye","MA8",4010,"KK","KK","Gill",TRUE,0,0,0,NA,4705713.623,0,NA,0,0,0,0,57870.93256,NA,5.05e-45,5.05e-45,0,0,NA,6447.006247,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,63.65365642,0,0,0,0,0,0,0
