Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments
BC-31-2021,BC-31-2021,BC-31-21,BC-L-31,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.308,48.5,,4,,12.8,,7.1,32,F,0.094,1-C7,10,0.4008,,,,,3.2,,,2.134,1-B11,N,Y,5,Y,Y,0.046,20.6,19,15.8,15.5,9.7,6.8,4.5,3.4,,9/27/21,122,10/1/21,43.2,0.6459,0.3541,,10/5/21,4,0.3024,923.3249,26.4667,9.371815082,,,,,,,,,,,,,,,,
BC-32-2021,BC-32-2021,BC-32-21,BC-L-32,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.934,44,,4,,12.2,,7.3,29.8,F,0.074,1-C6,10,0.4018,,,,,3.6,,,1.79,1-B10,N,Y,5,Y,Y,0.034,16.4,17.4,13,13.1,6.3,6.8,4.1,3.5,,9/27/21,104,10/1/21,35.3,0.6606,0.3394,,10/5/21,2,0.2865,955.4635,26.4787,8.987481827,,,,,,,,,,,,,,,,
BC-33-2021,BC-33-2021,BC-33-21,BC-L-33,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.418,48.8,,3.5,,12.9,,7.1,31.3,F,0.112,1-D2,10,0.3886,,,,,3.7,,,2.204,1-C2,N,Y,5,Y,Y,0.056,15.3,15.5,13.4,13.1,9,7.6,4.9,5.1,,9/27/21,92,10/1/21,32.1,0.6511,0.3489,,10/5/21,4,0.4372,923.3249,26.8033,9.352020978,2,0.3798,955.4635,27.7401,9.678882717,,,,,,,,,,,
BC-34-2021,BC-34-2021,BC-34-21,BC-L-34,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.906,44.5,,3.5,,11.2,,7.5,29,F,0.188,1-D5,10,0.7367,,,,,4.7,,,1.63,1-C5,N,Y,5,Y,Y,0.096,10.8,9.3,6.7,8,2.8,3.4,1.3,2.4,,9/27/21,103,10/1/21,34.8,0.6621,0.3379,,10/5/21,4,0.2759,923.3249,26.8691,9.078103689,,,,,,,,,,,,,,,,
BC-35-2021,BC-35-2021,BC-35-21,BC-L-35,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2.3,48.1,,4.4,,12.7,,7.4,31.6,M,0.056,1-E1,,,,,,,,,,2.168,1-C9,N,Y,5,Y,Y,0.028,9.3,9.5,7,7.3,2.9,3,1.6,1.4,,9/27/21,106,10/1/21,36.9,0.6519,0.3481,,10/5/21,2,0.271,955.4635,27.4529,9.556717075,,,,,,,,,,,,,,,,
BC-36-2021,BC-36-2021,BC-36-21,BC-L-36,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2.016,43.9,,4.4,,12.4,,7.1,30.5,M,0.068,1-D8,,,,,,,,,,1.864,1-C8,N,Y,5,Y,Y,0.032,8,7.9,5.3,6.1,2.2,2,1.8,1.7,,9/27/21,152,10/4/21,48.7,0.6796,0.3204,,10/5/21,2,0.3106,955.4635,26.3307,8.436217697,,,,,,,,,,,,,,,,
BC-37-2021,BC-37-2021,BC-37-21,BC-L-37,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2.668,48.8,,4.3,,13.7,,6.6,33,M,0.078,1-E5,,,,,,,,,,2.468,1-D1,N,Y,5,Y,Y,0.036,4.9,5.3,4.3,5.1,1.8,1.7,1.3,1.3,,9/27/21,115,10/4/21,35.9,0.6878,0.3122,,10/5/21,4,0.2958,923.3249,25.2136,7.871028174,,,,,,,,,,,,,,,,
BC-38-2021,BC-38-2021,BC-38-21,BC-L-38,6/18/2021 (BC),Middle,Baird Canyon,6/25/21,60.73831,-144.5687,2,44,,4.1,,12.5,,7.5,30.6,M,0.086,1-E7,,,,,,,,,,1.846,1-D3,N,Y,5,Y,Y,0.046,3.7,4,4.1,3.8,1.6,1.4,1.2,1,,10/4/21,118,10/8/21,34.7,0.7059,0.2941,,10/8/21,2,0.308,955.4635,26.0478,7.659819153,4,0.2924,923.3249,25.1529,7.396657881,,,,,,,,,,,
BC-39-2021,BC-39-2021,BC-39-21,BC-L-39,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.752,43.2,,2.9,,11.5,,6.8,28.4,F,0.138,1-D6,10,0.626,,,,,4.1,,,1.538,1-C6,N,Y,5,Y,Y,0.068,9.1,7.4,6.5,6.3,2.4,2.6,1.6,2.2,,9/27/21,121,10/1/21,39.2,0.676,0.324,,10/5/21,2,0.3416,955.4635,27.2615,8.831824793,,,,,,,,,,,,,,,,
BC-40-2021,BC-40-2021,BC-40-21,BC-L-40,6/18/2021 (BC),Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.862,42.9,,3.8,,11.5,,6.8,28.5,F,0.136,1-D3,10,0.5761,,,,,4.6,,,1.646,1-C3,N,Y,5,Y,Y,0.062,6.9,7.6,6.6,6.9,1.8,2.3,1.2,1.8,,10/4/21,112.2,10/8/21,35.3,0.6854,0.3146,,10/8/21,2,0.305,955.4635,27.1877,8.553705971,,,,,,,,,,,,,,,,
