"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","Fish_Leng_1_mm","Fish_Leng_2_mm","Fish_Ht_mm","Fish_Grth_mm","Fish_Wt_g","bodysize_pc_g_mm"
"62","TN-2-2019","TNL2-2019","TN-2-19","TNL2","2019-09-10",NA,"Tanada","",62.45133,-143.382153,2.022,46.7,47.6,4.3,5.5,12,13,6,28.2,"F",0.262,"N/A",38,3.889,45,3.6776,57,6.358,4.9,4.5,4.6,1.668,"N/A","N","Y",NA,"Y","Y",0.132,0.8,0.8,0.6,0.7,0.7,0.6,0.6,0.7,"",0,"2/5/20",99.4,"2/11/20",27.8,"0.7203","0.2797","","2/14/20",2,0.3062,923.1981,24.2556,6.783759356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",467,43,120,282,2022,0.120400678110312
"63","TN-3-2019","TNL3-2019","TN-3-19","TNL3","2019-09-10",NA,"Tanada","9/20/19",62.45133,-143.382153,1.956,45.08,46.08,4.09,4.05,11.05,13.05,6.01,28,"F",0.296,"N/A",34,5.41,37,6.597,55,8.8,4.5,4.3,4.6,1.586,"2-F12","N","Y","6","Y","Y",0.166,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.6,"",0,"2/5/20",105.8,"2/11/20",25.9,"0.7552","0.2448","","2/14/20",4,0.3028,923.3249,22.389,5.480861059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",450.8,40.9,110.5,280,1956,-0.453506073129416
"64","TN-4-2019","TNL4-2019","N/A","N/A","2019-09-10",NA,"Tanada","",62.45133,-143.382153,1.86,45.9,48,4.5,5.5,11.8,14.5,5.8,30.8,"F",0.262,"N/A",48,7.8909,50,5.1387,83,4.1888,5.2,4.8,4.9,1.532,"2-G4","N","Y","5","Y","Y",0.136,0.7,0.6,0.5,0.7,0.6,0.6,0.6,0.5,"",0,"2/5/20",140.2,"2/11/20",33.9,"0.7582","0.2418","","2/14/20",2,0.3141,923.1981,21.1332,5.109953495,4,0.2891,923.3249,22.3733,5.409806491,4,0.3106,923.3249,22.3789,5.411160556,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",459,45,118,308,1860,0.303241699429597
"65","TN-5-2019","TNL5-2019","TN-5-19","TNL5","2019-09-10",NA,"Tanada","",62.45133,-143.382153,2.176,47.08,48.02,5.09,6.03,14.02,15.07,6.04,31.05,"F",NA,"N/A",53,5.135,NA,NA,NA,NA,4.5,NA,NA,1.816,"2-G1","N","Y","5","Y","N",NA,0.8,0.7,0.6,0.6,0.6,0.6,0.8,0.7,"LOOSE EGGS IN SKEIN, COULDN'T TAKE SUB SAMPLES",3,"2/5/20",92.6,"2/11/20",20.4,"0.7797","0.2203","","2/14/20",4,0.335,923.3249,20.9433,4.613858747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",470.8,50.9,140.2,310.5,2176,1.15358470940521
"76","MN-6-2020","MN-20-6","MN-6-20","MN-20-6","2020-07-30",NA,"Mentasta","9/29/20",62.94958,-143.35984,1.554,43.4,NA,3.6,NA,10.3,NA,4.6,26.6,"F",0.304,"Fin well: 21(2)",10,0.8135,NA,NA,NA,NA,5.3,NA,NA,1.162,"2-F9","N","Y","5","Y","Y",0.18,0.4,0.7,0.5,0.5,0.4,0.7,0.8,0.8,"",0,"1/10/21",89.5,"1/14/21",19.3,"0.7844","0.2156",NA,"2/8/21",4,0.4095,923.3249,20.6751,4.458429385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",434,36,103,266,1554,-1.1580377204474
"77","MN-7-2020","MN-20-7","MN-7-20","MN-20-7","2020-07-30",NA,"Mentasta","9/29/20",62.94958,-143.35984,1.62,44.3,NA,5.1,NA,10.6,NA,4.1,26,"F",NA,"Fin well: 19, partial spawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.726,"2-F7 (1 OTO)","N","Y","5","Y","N",NA,0.7,0.6,0.4,0.3,0.4,0.4,1.1,0.4,"partial spawn",1,"1/10/21",82.1,"1/14/21",16.9,"0.7942","0.2058",NA,"2/8/21",2,0.3743,955.4635,21.4776,4.421089403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",443,51,106,260,1620,-1.00487669960255
"78","MN-8-2020","MN-20-8","MN-8-20","MN-20-8","2020-07-30",NA,"Mentasta","9/28/20",62.94958,-143.35984,1.294,44.3,NA,4.4,NA,10.5,NA,3.3,25.1,"F",0,"Fin well ID: 12(2). Post-spawn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,"2-E12","N","Y","5","Y","N",NA,0.3,0.4,0.3,0.3,0.7,0.4,0.4,0.4,"Post-spawn.",2,"1/10/21",82.1,"1/14/21",16.1,"0.8039","0.1961",NA,"2/8/21",4,0.4305,923.3249,18.817,3.690057247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",443,44,105,251,1294,-1.16316234403817
"79","MN-9-2020","MN-20-9","MN-9-20","MN-20-9","2020-07-30",NA,"Mentasta","9/29/20",62.94958,-143.35984,1.266,42.5,NA,4.4,NA,9.6,NA,3.8,23.2,"F",0,"Fin well ID: 22(2). Post-spawn, no eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.174,"2-F10","N","Y","5","Y","N",NA,0.3,0.5,0.3,0.4,0.7,0.6,0.8,0.4,"Post-spawn, no eggs",2,"1/10/21",66.2,"1/14/21",13,"0.8036","0.1964",NA,"2/8/21",2,0.3608,955.4635,19.476,3.824592145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",425,44,96,232,1266,-2.00255778848983
"80","FC-1-2020","FC-20-1","FC-1-20","FC-20-1","2020-07-31",NA,"Fish Creek Gulkana","9/28/20",63.1000428,-145.481274,1.232,42.8,NA,4,NA,10.1,NA,3.6,24.1,"F",0.212,"Fin well ID: 16 (2)",10,0.7315,NA,NA,NA,NA,4.7,NA,NA,0.966,"2-F4","N","Y","7","Y","Y",0.118,0.4,0.5,0.3,0.4,0.7,0.4,1.2,0.4,"",0,"1/10/21",93.9,"1/14/21",20.2,"0.7849","0.2151",NA,"2/10/21",2,0.4471,955.4635,20.079,4.319444089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",428,40,101,241,1232,-1.68221447122684
"81","FC-2-2020","FC-20-2","FC-2-20","FC-20-2","2020-07-31",NA,"Fish Creek Gulkana","9/28/20",63.1000428,-145.481274,1.342,40.9,NA,4.3,NA,10.4,NA,4.7,25.4,"F",0.254,"Fin well ID: 11",10,0.8079,NA,NA,NA,NA,5,NA,NA,1.044,"2-E11","N","Y","5","Y","Y",0.142,0.5,0.7,0.5,0.8,1.2,0.6,1.9,0.7,"",0,"1/10/21",94.1,"1/14/21",23.5,"0.7503","0.2497",NA,"2/10/21",4,0.5043,923.3249,19.6218,4.900236982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",409,43,104,254,1342,-1.74591620882509
"82","FC-3-2020","FC-20-3","FC-3-20","FC-20-3","2020-07-31",NA,"Fish Creek Gulkana","9/28/20",63.1000428,-145.481274,1.476,41.9,NA,3.9,NA,10.6,NA,4,25.2,"F",0.262,"Fin well ID: 15 (2)",10,0.9226,NA,NA,NA,NA,4.9,NA,NA,1.152,"2-F3","N","Y","3","Y","Y",0.15,0.4,0.7,0.6,0.8,0.5,0.7,0.5,0.9,"",0,"1/10/21",98.8,"1/14/21",23,"0.7672","0.2328",NA,"2/10/21",2,0.4383,955.4635,22.024,5.127044534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",419,39,106,252,1476,-1.5442161999598
"83","FC-4-2020","FC-20-4","FC-4-20","FC-20-4","2020-07-31",NA,"Fish Creek Gulkana","9/28/20",63.1000428,-145.481274,1.61,43.6,NA,4.4,NA,10.5,NA,4.5,26.6,"F",0.3,"Fin well ID: 8(2)",10,1.1557,NA,NA,NA,NA,4.9,NA,NA,1.252,"2-E8 (one missing)","N","Y","5","Y","Y",0.15,0.4,0.4,0.4,0.7,0.7,0.4,1.2,0.4,"",0,"1/10/21",97.7,"1/14/21",20.9,"0.7861","0.2139",NA,"2/10/21",4,0.4454,923.3249,20.342,4.351563971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",436,44,105,266,1610,-1.06819833067023
"84","FC-5-2020","FC-20-5","FC-5-20","FC-20-5","2020-07-31",NA,"Fish Creek Gulkana","9/28/20",63.1000428,-145.481274,1.93,42.8,NA,4.6,NA,11.7,NA,5.5,29.3,"F",0.314,"Fin well ID: 10 (2)",10,1.0431,NA,NA,NA,NA,5,NA,NA,1.526,"2-E10","N","Y","5","Y","Y",0.15,0.7,0.6,0.7,0.7,0.6,0.8,1.3,0.6,"",0,"1/10/21",98.9,"1/14/21",23.2,"0.7654","0.2346",NA,"2/10/21",2,0.3338,955.4635,22.8293,5.355305966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",428,46,117,293,1930,-0.488622957724435
"95","GH2-6-2020","GH2-20-6","GH2-6-20","GH2-20-6","2020-09-08",NA,"Gulkana Hatchery","9/28/20",63.06732669,-145.5138318,1.608,45.6,NA,4.6,NA,11,NA,4.2,26.6,"F",0.3,"Fin well ID: 4(2)",10,0.8572,NA,NA,NA,NA,4.9,NA,NA,1.24,"2-E4","Y","Y","4","Y","Y",0.078,0.3,0.5,0.5,0.7,0.4,0.6,2.4,0.5,"",0,"1/15/21",79.3,"1/21/21",17.9,"0.7743","0.2257",NA,"2/16/21",2,0.4163,955.4635,20.5785,4.645083859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",456,46,110,266,1608,-0.579283255322919
"96","GH2-7-2020","GH2-20-7","GH2-7-20","GH2-20-7","2020-09-08",NA,"Gulkana Hatchery","9/26/20",63.06732669,-145.5138318,1.822,47.3,NA,5.2,NA,11.4,NA,4.7,25.9,"F",0.142,"N/A",10,0.7874,NA,NA,NA,NA,5.1,NA,NA,2.65,"2-C11","Y","Y","5","Y","Y",0.068,0.7,0.7,0.4,0.5,0.4,0.5,0.4,0.6,"",0,"1/15/21",109.6,"1/20/21",23.1,"0.7892","0.2108",NA,"2/16/21",4,0.3837,923.3249,20.0141,4.218300274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",473,52,114,259,1822,-0.272408909864551
"97","GH2-8-2020","GH2-20-8","GH2-8-20","GH2-20-8","2020-09-08",NA,"Gulkana Hatchery","9/26/20",63.06732669,-145.5138318,1.47,45.7,NA,4.6,NA,9.8,NA,4.1,24,"F",0.04,"fin well id:34, partial spawner",10,0.9769,NA,NA,NA,NA,5.2,NA,NA,1.348,"2-C10 (1 OTO)","Y","","","Y","Y",0.036,1,0.6,0.5,0.5,0.6,0.4,0.6,0.6,"partial spawner",1,"1/15/21",110.5,"1/21/21",22.7,"0.7946","0.2054",NA,"2/16/21",2,0.3141,955.4635,21.2779,4.371116109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",457,46,98,240,1470,-1.26765225799366
"98","GH2-9-2020","GH2-20-9","GH2-9-20","GH2-20-9","2020-09-08",NA,"Gulkana Hatchery","9/26/20",63.06732669,-145.5138318,1.928,47,NA,5.1,NA,11.7,NA,4.9,27.1,"F",0.26,"fin well id: 38",10,0.738,NA,NA,NA,NA,5.1,NA,NA,1.548,"2-D2, one missing","Y","Y","6","Y","Y",0.074,0.7,0.5,0.5,0.6,0.5,0.7,0.6,0.8,"",0,"1/15/21",82.5,"1/21/21",19.4,"0.7648","0.2352",NA,"2/16/21",4,0.3602,923.3249,20.0948,4.725322667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",470,51,117,271,1928,-0.0687270571952308
"99","GH2-10-2020","GH2-20-10","GH2-10-20","GH2-20-10","2020-09-08",NA,"Gulkana Hatchery","9/28/20",63.06732669,-145.5138318,1.602,45.2,NA,4.8,NA,10.6,NA,4,26.5,"F",0.222,"fin well id: 6",10,0.666,NA,NA,NA,NA,4.3,NA,NA,2.458,"2-E6","Y","Y","6","Y","Y",0.034,1.5,0.5,0.8,0.6,0.7,0.5,0.8,0.5,"",0,"1/15/21",78.9,"1/21/21",16.9,"0.7858","0.2142",NA,"2/16/21",2,0.3518,955.4635,21.4286,4.589902915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",452,48,106,265,1602,-0.77351615224103
"102","MA-3-2020","MA-20-3","MA-3-20","MA-20-3","2020-08-10",NA,"Mahlo","9/26/20",61.73588,-145.7294181,1.186,42.6,NA,4.3,NA,10,NA,3.8,23,"F",NA,"Fin clip 44",NA,NA,NA,NA,NA,NA,5.8,NA,NA,1.1,"2-D8","N","Y","5","Y","N",NA,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.8,"",0,"1/5/21",128,"1/9/21",24.5,"0.8086","0.1914",NA,"2/18/21",4,0.4206,923.3249,19.4928,3.73104375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",426,43,100,230,1186,-1.90485056384393
"103","MA-4-2020","MA-20-4","MA-4-20","MA-20-4","2020-08-10",NA,"Mahlo","9/29/20",61.73588,-145.7294181,1.682,43.5,NA,4.8,NA,11.9,NA,4.5,27,"F",0.034,"Fin clip 20 (2)",10,1.2747,NA,NA,NA,NA,6,NA,NA,1.514,"2-F8","N","Y","5","Y","Y",0.034,0.5,0.4,0.7,0.6,0.4,0.5,0.6,0.5,"",0,"1/5/20",102.5,"1/9/21",21.8,"0.7873","0.2127",NA,"2/18/21",2,0.4142,955.4635,22.2347,4.728941073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",435,48,119,270,1682,-0.645422733679348
"104","MA-5-2020","MA-20-5","MA-5-20","MA-20-5","2020-08-10",NA,"Mahlo","9/26/20",61.73588,-145.7294181,1.132,42.4,NA,4.2,NA,10.6,NA,3.5,NA,"F",6,"Fin clip 43, post-spawn",10,0.8801,NA,NA,NA,NA,5.5,NA,NA,1.042,"2-D7, one missing","N","Y","7","Y","N",NA,0.5,0.4,0.4,0.4,0.4,0.4,1.1,0.5,"",0,"1/5/21",144.9,"1/9/21",27.9,"0.8075","0.1925",NA,"2/18/21",4,0.3775,923.3249,17.1082,3.294125466,2,0.2947,955.4635,20.0857,3.867432919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",424,42,106,235.66807395819,1132,-1.69380743471403
"106","MA-7-2020","MA-20-7","MA-7-20","MA-20-7","2020-08-10",NA,"Mahlo","9/29/20",61.73588,-145.7294181,1.406,43.2,NA,5.3,NA,11,NA,4,25.7,"F",0.004,"Fin clip 29 (2)",NA,NA,NA,NA,NA,NA,6.4,NA,NA,1.342,"2-G5","NO READ","Y","4","Y","Y",0.004,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,"",0,"1/5/21",116.5,"1/9/21",23.4,"0.7991","0.2009",NA,"2/18/21",2,0.3061,955.4635,20.6622,4.150175794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",432,53,110,257,1406,-1.13317687304395
"108","MA-9-2020","MA-20-9","MA-9-20","MA-20-9","2020-08-10",NA,"Mahlo","9/29/20",61.73588,-145.7294181,1.748,44.5,NA,4.5,NA,13.4,NA,4.2,29.6,"F",0.196,"Fin clip 24(2)",10,1.0853,NA,NA,NA,NA,5.7,NA,NA,2.578,"2-F12","N","Y","5","Y","Y",0.062,0.4,0.3,0.7,0.5,0.4,0.4,0.5,0.4,"",0,"1/5/21",137.1,"1/9/21",26,"0.8104","0.1896",NA,"2/18/21",2,0.4272,955.4635,20.9315,3.969504012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",445,45,134,296,1748,0.318674207472816
"113","SA-4-2020","SA-20-4","SA-4-20","SA-20-4","2020-08-10",NA,"St Anne","9/29/20",61.73953006,-145.9685194,1.482,43.9,NA,4.7,NA,10.6,NA,3.9,24.1,"F",0,"Fin clip: 23(2), post spawn, no eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.406,"2-F11","N","Y","5","Y","N",NA,0.4,0.4,0.3,0.5,0.7,0.5,0.3,0.4,"post spawn, no eggs",2,"1/23/21",78.3,"1/28/21",14.5,"0.8148","0.1852",NA,"2/23/21",4,0.3226,923.3249,20.2953,3.758388889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",439,47,106,241,1482,-1.35188935642216
"114","SA-5-2020","SA-20-5","SA-5-20","SA-20-5","2020-08-11",NA,"St Anne","9/29/20",61.73953006,-145.9685194,1.33,41.7,NA,5.5,NA,10.4,NA,3.7,25.4,"F",0,"Fin clip 18(2), post-spawn, just one egg",1,NA,NA,NA,NA,NA,5.8,NA,NA,1.244,"2-F6","N","Y","6","Y","N",NA,0.8,0.4,0.5,0.5,0.4,0.5,0.4,0.5,"post-spawn, just one egg",2,"1/23/21",75.1,"1/28/21",14.2,"0.8109","0.1891",NA,"2/23/21",2,0.2672,955.4635,20.4194,3.860925166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",417,55,104,254,1330,-1.60494735500942
"115","SA-6-2020","SA-20-6","SA-6-20","SA-20-6","2020-08-11",NA,"St Anne","9/29/20",61.73953006,-145.9685194,1.534,43.4,NA,4.4,NA,11.7,NA,4.7,27,"F",0.012,"Fin clip 27",1,NA,NA,NA,NA,NA,5.7,NA,NA,1.446,"2-G3","N","Y","5","Y","Y",0.012,0.5,0.7,0.4,0.5,0.4,0.5,0.4,0.5,"",0,"1/23/21",79.9,"1/28/21",16.5,"0.7935","0.2065",NA,"2/23/21",4,0.3644,923.3249,21.0183,4.340449937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",434,44,117,270,1534,-0.717641016729556
"117","SA-8-2020","SA-20-8","SA-8-20","SA-20-8","2020-08-11",NA,"St Anne","9/26/20",61.73953006,-145.9685194,1.536,44.4,NA,5.3,NA,10.6,NA,4.2,26.2,"F",0,"Fin clip, 45 only one single egg, post-spawn",NA,NA,NA,NA,NA,NA,5.75,NA,NA,1.392,"2-D9","N","Y","5","Y","N",NA,0.3,0.4,0.3,0.4,0.5,0.5,0.8,0.6,"only one single egg, post-spawn",2,"1/23/21",130,"1/28/21",24.8,"0.8092","0.1908",NA,"2/23/21",4,0.339,923.3249,21.0664,4.018820923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",444,53,106,262,1536,-0.95814735814804
"118","SA-9-2020","SA-20-9","SA-9-20","SA-20-9","2020-08-11",NA,"St Anne","9/28/20",61.73953006,-145.9685194,1.208,42.9,NA,4.5,NA,9.9,NA,3.4,23.5,"F",NA,"Fin clip 14(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.106,"2-F2 one missing","N","Y","6","Y","N",NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,"",0,"1/23/21",73.4,"1/28/21",14.7,"0.7997","0.2003",NA,"2/23/21",2,0.4245,955.4635,20.7708,4.159819619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",429,45,99,235,1208,-1.80651524500579
"121","LL-2-2020","LL-20-2","LL-2-20","LL-20-2","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,1.732,44.2,NA,4.7,NA,11.1,NA,5.5,27.3,"F",0.19,"Fin clip 36",NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.464,"2-C12 one missing","N","Y","6","Y","Y",0.096,0.7,0.7,0.8,0.7,1,0.7,0.9,0.7,"",0,"1/15/21",120,"1/21/21",29.9,"0.7508","0.2492",NA,"2/25/21",4,0.4181,923.3249,22.0032,5.482464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",442,47,111,273,1732,-0.696801339792289
"126","LL-7-2020","LL--20-7","LL-7-20","LL-20-7","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,2.102,47,NA,4.6,NA,10.7,NA,6,27,"F",0.15,"Fin clip 37",NA,NA,NA,NA,NA,NA,4.7,NA,NA,1.852,"2-D1","N","Y","7","Y","Y",0.072,1.7,0.8,1.7,1.1,0.9,0.7,1.3,0.8,"",0,"1/15/21",122.2,"1/21/21",32.8,"0.7316","0.2684",NA,"2/25/21",4,0.3075,923.3249,23.2044,6.228349591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",470,46,107,270,2102,-0.356267056175246
"127","LL-8-2020","LL-20-8","LL-8-20","LL-20-8","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,1.976,48.2,NA,4.4,NA,10.7,NA,5.5,28,"F",0.138,"Fin clip 39",NA,NA,NA,NA,NA,NA,4.7,NA,NA,1.724,"2-D3","N","Y","7","Y","Y",0.07,1.3,0.8,1.5,0.7,1.3,0.6,0.9,0.7,"",0,"1/15/21",118.3,"1/21/21",31.2,"0.7363","0.2637",NA,"2/25/21",2,0.3495,955.4635,22.4827,5.929503297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",482,44,107,280,1976,0.000727398186042564
"128","LL-9-2020","LL-20-9","LL-9-20","LL-20-9","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,1.312,40.5,NA,3.9,NA,9.8,NA,4.7,24.5,"F",0.086,"Fin clip 32",NA,NA,NA,NA,NA,NA,4.6,NA,NA,1.154,"2-C8 one missing","N","Y","6","Y","Y",0.044,1.4,1.5,1.3,0.8,2.2,1,0.8,0.7,"",0,"1/15/21",114.8,"1/21/21",30.8,"0.7317","0.2683",NA,"2/25/21",4,0.3103,923.3249,22.7512,6.103980488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",405,39,98,245,1312,-2.11117922097667
"129","LL-10-2020","LL-20-10","LL-10-20","LL-20-10","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,1.972,45.7,NA,4.6,NA,10.4,NA,6.2,26.4,"F",0.132,"Fin clip 33",NA,NA,NA,NA,NA,NA,4.3,NA,NA,1.748,"2-C9","N","Y","7","Y","Y",0.07,2.1,1.4,1.5,1.3,1.5,1,2.1,2.1,"",0,"1/15/21",101.8,"1/21/21",29,"0.7151","0.2849",NA,"2/25/21",2,0.2688,955.4635,24.6991,7.036089391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",457,46,104,264,1972,-0.754561912293257
"130","MA-1-2021","MA-1-2021","MA-1-21","MA-1","2021-07-18",NA,"Mahlo","7/24/21",61.73588,-145.7294181,2.022,43.6,NA,5.3,NA,13.6,NA,6.5,31.8,"F",0.378,"2-F7",6,0.7286,NA,NA,NA,NA,6.2,NA,NA,1.582,"1-H11","N","Y","5","Y","Y",0.176,1.1,1,1.3,0.9,0.8,0.8,0.9,1,"",0,"10/6/21",130.8,"10/11/21",32.2,"0.7538","0.2462",NA,"10/12/21",2,0.2932,955.4635,25.1648,6.195004281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,"KlutinaLake",436,53,136,318,2022,0.534872005256527
"131","MA-2-2021","MA-2-2021","MA-2-21","MA-2","2021-07-18",NA,"Mahlo","7/24/21",61.73588,-145.7294181,1.928,43.3,NA,5,NA,12.5,NA,6.3,30.5,"F",0.374,"2-F3",7,0.654,NA,NA,NA,NA,5.6,NA,NA,1.498,"1-H7","N","Y","5","Y","Y",0.17,0.8,1,0.8,0.8,0.7,0.6,1,0.8,"",0,"10/6/21",141.9,"10/11/21",36.2,"0.7449","0.2551",NA,"10/12/21",4,0.2923,923.3249,24.3645,6.215608879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,"KlutinaLake",433,50,125,305,1928,-0.00747931043131893
